iter	Passed	Remaining
692	1969	872
693	1971	869
694	1973	866
695	1975	862
696	1977	859
697	1979	856
698	1983	854
699	1985	851
700	1987	847
701	1990	844
702	1992	841
703	1994	838
704	1995	835
705	1999	832
706	2001	829
707	2003	826
708	2006	823
709	2008	820
710	2012	818
711	2016	815
712	2018	812
713	2020	809
714	2022	806
715	2024	802
716	2028	800
717	2031	797
718	2033	794
719	2034	791
720	2036	788
721	2038	784
722	2042	782
723	2044	779
724	2046	776
725	2048	772
726	2050	769
727	2052	766
728	2053	763
729	2058	761
730	2061	758
731	2063	755
732	2064	752
733	2066	748
734	2068	745
735	2070	742
736	2072	739
737	2074	736
738	2076	733
739	2078	730
740	2080	727
741	2081	723
742	2086	721
743	2087	718
744	2089	715
745	2091	712
746	2093	709
747	2095	705
748	2096	702
749	2100	700
750	2103	697
751	2105	694
752	2107	691
753	2108	688
754	2111	685
755	2113	682
756	2116	679
757	2118	676
758	2120	673
759	2122	670
760	2124	667
761	2126	664
762	2128	661
763	2132	658
764	2134	655
765	2135	652
766	2137	649
767	2139	646
768	2141	643
769	2143	640
770	2146	637
771	2148	634
772	2150	631
773	2152	628
774	2154	625
775	2156	622
776	2157	619
777	2162	617
778	2164	614
779	2166	611
780	2168	608
781	2170	605
782	2172	601
783	2173	598
784	2177	596
785	2179	593
786	2181	590
787	2183	587
788	2184	584
789	2186	581
790	2188	578
791	2191	575
792	2193	572
793	2195	569
794	2197	566
795	2199	563
796	2202	560
797	2203	557
798	2208	555
799	2209	552
800	2211	549
801	2213	546
802	2215	543
803	2217	540
804	2218	537
805	2222	534
806	2224	531
807	2225	528
808	2227	525
809	2229	522
810	2230	519
811	2232	516
812	2234	513
813	2238	511
814	2240	508
815	2242	505
816	2244	502
817	2245	499
818	2248	496
819	2250	494
820	2253	491
821	2255	488
822	2257	485
823	2259	482
824	2261	479
825	2263	476
826	2269	474
827	2272	471
828	2274	469
829	2275	466
830	2277	463
831	2279	460
832	2284	457
833	2286	455
834	2288	452
835	2290	449
836	2295	446
837	2300	444
838	2302	441
839	2304	438
840	2306	436
841	2308	433
842	2310	430
843	2314	427
844	2316	424
845	2318	422
846	2320	419
847	2321	416
848	2323	413
849	2325	410
850	2329	407
851	2331	404
852	2333	402
853	2334	399
854	2336	396
855	2338	393
856	2339	390
857	2343	387
858	2345	385
859	2347	382
860	2349	379
861	2351	376
862	2353	373
863	2354	370
864	2358	368
